Unnamed: 0,Instrument,Company Common Name,TRBC Business Sector Name,Resource Use Score,Policy Water Efficiency,Policy Energy Efficiency,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Targets Energy Efficiency,Environment Management Training,Environmental Materials Sourcing,Total Energy Use To Revenues USD in million,Renewable Energy Use,Green Buildings,Environmental Supply Chain Management
209,L.N,Loews Corp,Insurance,bad,True,True,True,True,False,True,True,True,,False,True,False
210,ALK.N,Alaska Air Group Inc,Transportation,bad,False,True,True,False,False,False,False,True,13965.8008419689,False,True,False
211,VICI.N,VICI Properties Inc,Real Estate,bad,True,True,True,False,False,False,False,False,,False,True,True
212,TGT.N,Target Corp,Retailers,good,True,True,True,False,False,False,True,True,190.078301966888,True,True,True
213,LDOS.N,Leidos Holdings Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,51.045051638611,True,False,True
214,ICE.N,Intercontinental Exchange Inc,Banking & Investment Services,bad,True,True,False,False,False,False,True,False,,True,True,False
215,MOH.N,Molina Healthcare Inc,Healthcare Services & Equipment,bad,True,True,False,False,False,False,False,False,,False,True,False
216,MSI.N,Motorola Solutions Inc,Technology Equipment,good,True,True,True,True,True,False,True,True,89.5387105476126,True,True,True
217,STZ.N,Constellation Brands Inc,Food & Beverages,bad,True,True,True,False,False,False,False,False,592.874488419286,True,False,False
218,AIG.N,American International Group Inc,Insurance,bad,True,True,True,False,False,False,False,False,,True,True,False
219,SCHW.N,Charles Schwab Corp,Banking & Investment Services,bad,True,True,False,False,False,False,False,False,,False,True,False
220,IQV.N,IQVIA Holdings Inc,Pharmaceuticals & Medical Research,bad,False,True,True,False,False,False,True,True,,True,False,True
221,DE.N,Deere & Co,Industrial Goods,good,True,True,True,True,True,False,True,False,293.407994172812,True,no value,True
222,DFS.N,Discover Financial Services,Banking & Investment Services,bad,True,True,False,False,False,False,False,False,24.3633655994043,False,True,False
223,BBY.N,Best Buy Co Inc,Retailers,good,True,True,True,True,True,True,True,True,119.445269932961,True,False,True
224,DG.N,Dollar General Corp,Retailers,bad,False,False,False,False,False,False,False,False,,False,False,True
225,EXC.OQ,Exelon Corp,Utilities,bad,True,False,True,False,False,False,False,True,,True,False,True
226,MNST.OQ,Monster Beverage Corp,Food & Beverages,bad,True,True,False,False,False,False,False,False,21.1653117020221,True,True,False
227,AMD.OQ,Advanced Micro Devices Inc,Technology Equipment,good,True,True,True,True,True,False,True,True,23.6582694414019,True,True,True
228,CRL.N,Charles River Laboratories International Inc,Pharmaceuticals & Medical Research,good,True,True,True,False,False,False,False,True,,True,True,True
229,KMB.N,Kimberly-Clark Corp,Personal & Household Products & Services,bad,True,True,True,True,True,False,True,True,2621.91358024691,True,False,True
230,WRB.N,W R Berkley Corp,Insurance,bad,True,True,True,False,False,False,False,False,,False,no value,False
231,TFX.N,Teleflex Inc,Healthcare Services & Equipment,bad,True,True,True,True,False,True,True,False,,True,True,True
232,F.N,Ford Motor Co,Automobiles & Auto Parts,good,True,True,True,True,True,False,True,True,311.462936959535,True,True,True
233,HWM.N,Howmet Aerospace Inc,Industrial Goods,bad,True,True,True,True,False,True,False,True,2200.32180209171,True,False,True
234,D.N,Dominion Energy Inc,Utilities,good,True,True,True,True,True,True,True,True,,True,True,True
235,CFG.N,Citizens Financial Group Inc,Banking & Investment Services,bad,False,True,False,False,False,False,False,False,,False,True,False
236,ANET.N,Arista Networks Inc,Technology Equipment,good,True,True,True,False,False,False,True,True,29.3503480278422,True,True,True
237,MCO.N,Moody's Corp,Industrial & Commercial Services,good,True,True,True,False,False,False,True,True,16.1930524284335,True,True,True
238,MPC.N,Marathon Petroleum Corp,Energy - Fossil Fuels,good,True,True,True,True,True,True,True,True,4961.8762508063,True,False,True
239,DHI.N,D R Horton Inc,Cyclical Consumer Products,bad,False,False,False,False,False,False,True,True,,False,False,False
240,GRMN.N,Garmin Ltd,Technology Equipment,bad,True,True,True,False,False,False,False,True,,True,True,True
241,TFC.N,Truist Financial Corp,Banking & Investment Services,good,True,True,True,True,True,True,True,True,133.654226318622,False,no value,True
242,AES.N,AES Corp,Utilities,bad,True,True,True,False,False,False,True,False,,True,False,True
243,ODFL.OQ,Old Dominion Freight Line Inc,Transportation,bad,True,True,False,False,False,False,False,False,,True,True,False
244,MOS.N,Mosaic Co,Chemicals,bad,True,True,True,True,True,True,True,False,14504.0717831761,True,True,True
245,ETR.N,Entergy Corp,Utilities,bad,True,True,True,False,False,False,True,True,1676.19241981815,True,False,True
246,NCLH.N,Norwegian Cruise Line Holdings Ltd,Cyclical Consumer Services,good,True,True,True,False,False,False,True,True,28486.8546542672,False,True,True
247,COF.N,Capital One Financial Corp,Banking & Investment Services,bad,True,False,True,True,True,False,False,False,12.8582196823616,False,True,True
248,QRVO.OQ,Qorvo Inc,Technology Equipment,good,True,True,True,True,True,True,False,True,313.425934894773,True,False,True
249,A.N,Agilent Technologies Inc,Healthcare Services & Equipment,good,True,True,True,True,True,True,True,True,92.8412723532204,True,no value,True
250,AVGO.OQ,Broadcom Inc,Technology Equipment,bad,True,True,True,False,False,False,False,True,64.7103580327868,False,False,True
251,MET.N,MetLife Inc,Insurance,good,True,True,True,True,False,True,True,True,9.32009003939223,True,True,True
252,CAH.N,Cardinal Health Inc,Pharmaceuticals & Medical Research,bad,True,True,True,False,False,False,True,False,22.7615454215317,True,False,True
253,ARE.N,Alexandria Real Estate Equities Inc,Real Estate,bad,True,True,False,True,True,True,False,False,942778579.6866969,True,False,False
254,BK.N,Bank of New York Mellon Corp,Banking & Investment Services,good,True,True,True,True,True,True,True,True,62.8391186993911,True,True,True
255,NUE.N,Nucor Corp,Mineral Resources,bad,True,True,True,False,False,False,True,False,,True,False,True
256,DUK.N,Duke Energy Corp,Utilities,bad,False,False,True,True,True,True,True,True,,True,False,True
257,UPS.N,United Parcel Service Inc,Transportation,good,True,True,True,True,False,True,False,False,2318.33646838734,False,True,True
258,SO.N,Southern Co,Utilities,bad,True,True,True,False,False,False,False,False,27654.0990625766,True,True,True
259,SYK.N,Stryker Corp,Healthcare Services & Equipment,bad,True,True,True,False,False,False,True,True,,True,True,True
260,BSX.N,Boston Scientific Corp,Healthcare Services & Equipment,good,True,True,True,True,False,True,True,True,120.222072678331,True,True,True
261,CME.OQ,CME Group Inc,Banking & Investment Services,bad,False,True,False,False,False,False,False,False,,False,True,False
262,SWK.N,Stanley Black & Decker Inc,Industrial Goods,good,True,True,True,True,True,True,True,True,285.839151704531,True,True,True
263,PH.N,Parker-Hannifin Corp,Industrial Goods,bad,True,True,True,True,True,True,False,False,424.059773063091,False,False,False
264,RL.N,Ralph Lauren Corp,Cyclical Consumer Products,good,True,True,True,True,True,False,True,True,138.537589450832,True,True,True
265,PNR.N,Pentair PLC,Industrial Goods,good,True,True,True,True,True,False,True,True,270.865915852103,True,True,True
266,POOL.OQ,Pool Corp,Cyclical Consumer Products,bad,True,True,True,False,False,False,False,False,,False,False,False
267,ROK.N,Rockwell Automation Inc,Industrial Goods,bad,True,True,True,False,False,False,True,False,112.298853860005,False,True,True
268,VRSK.OQ,Verisk Analytics Inc,Software & IT Services,bad,False,True,True,False,False,False,False,False,,False,True,True
269,STT.N,State Street Corp,Banking & Investment Services,good,True,True,True,True,True,False,True,True,67.4822482747152,True,True,True
270,IT.N,Gartner Inc,Software & IT Services,good,True,True,True,False,False,False,True,False,19.3142316369382,True,True,True
271,SYY.N,Sysco Corp,Food & Drug Retailing,good,True,True,True,True,False,True,True,True,279.086635294301,True,True,True
272,USB.N,US Bancorp,Banking & Investment Services,bad,False,True,True,False,False,False,True,False,,False,True,True
273,AWK.N,American Water Works Company Inc,Utilities,good,True,True,True,True,True,False,True,True,1291.92,True,True,True
274,MAS.N,Masco Corp,Cyclical Consumer Products,bad,True,False,True,False,False,False,False,False,225.375626043405,False,False,True
275,VRTX.OQ,Vertex Pharmaceuticals Inc,Pharmaceuticals & Medical Research,bad,True,True,True,False,False,False,True,False,,True,True,True
276,SNA.N,Snap-On Inc,Industrial Goods,bad,True,True,False,False,False,False,True,False,,False,False,True
277,PKI.N,PerkinElmer Inc,Healthcare Services & Equipment,bad,True,True,True,False,False,False,True,False,,True,True,True
278,NLOK.OQ,Gen Digital Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,49.8834048640915,True,True,True
279,OKE.N,ONEOK Inc,Energy - Fossil Fuels,bad,True,True,True,False,False,False,True,False,,True,False,True
280,CMI.N,Cummins Inc,Automobiles & Auto Parts,bad,True,True,True,True,True,False,True,False,677.794860834889,True,False,True
281,GPC.N,Genuine Parts Co,Automobiles & Auto Parts,bad,True,True,True,False,False,False,False,True,142.859997339364,True,True,True
282,ADI.OQ,Analog Devices Inc,Technology Equipment,bad,True,True,True,True,True,False,True,False,,True,True,True
283,FMC.N,FMC Corp,Chemicals,good,True,True,True,True,True,True,True,True,428.722349956394,True,False,True
284,PM.N,Philip Morris International Inc,Food & Beverages,good,True,True,True,True,True,True,False,True,245.857857029135,True,False,True
285,CLX.N,Clorox Co,Personal & Household Products & Services,bad,True,True,True,False,False,False,True,True,369.825918108906,True,True,True
286,ISRG.OQ,Intuitive Surgical Inc,Healthcare Services & Equipment,bad,True,True,True,False,False,False,True,False,,True,True,True
287,NVDA.OQ,NVIDIA Corp,Technology Equipment,good,True,True,True,True,False,True,True,False,70.3590044977511,True,True,True
288,BWA.N,Borgwarner Inc,Automobiles & Auto Parts,good,True,True,True,True,True,True,True,False,388.160695511524,True,True,True
289,HCA.N,HCA Healthcare Inc,Healthcare Services & Equipment,bad,True,True,False,False,False,False,True,True,,True,True,True
290,AEE.N,Ameren Corp,Utilities,bad,True,True,False,True,True,True,True,False,,True,True,False
291,NDSN.OQ,Nordson Corp,Industrial Goods,bad,True,True,True,False,False,False,True,True,907471828.8486744,False,True,True
292,TYL.N,Tyler Technologies Inc,Software & IT Services,bad,True,True,True,False,False,False,True,True,,True,True,True
293,BKNG.OQ,Booking Holdings Inc,Cyclical Consumer Services,bad,True,True,True,False,False,False,False,False,31.2485125022814,True,True,False
294,AAP.N,Advance Auto Parts Inc,Retailers,bad,False,True,False,False,False,False,True,False,252.657210401891,True,False,False
295,CSGP.OQ,CoStar Group Inc,Software & IT Services,bad,True,True,False,False,False,False,False,False,,False,True,False
296,GWW.N,WW Grainger Inc,Industrial Goods,good,True,True,True,False,False,False,False,True,107.959108247859,True,True,True
297,MO.N,Altria Group Inc,Food & Beverages,good,True,True,True,True,True,True,True,True,148.040172221581,True,False,True
298,IVZ.N,Invesco Ltd,Banking & Investment Services,bad,True,True,False,False,False,False,True,False,18.6237099136993,True,True,False
299,MDT.N,Medtronic PLC,Healthcare Services & Equipment,good,True,True,True,True,True,True,True,True,102.435144858928,True,True,True
300,PFE.N,Pfizer Inc,Pharmaceuticals & Medical Research,good,True,True,True,True,True,False,True,True,201.016961913197,True,True,True
301,SYF.N,Synchrony Financial,Banking & Investment Services,good,True,True,True,False,False,False,True,False,5.36854619565217,False,True,True
302,XYL.N,Xylem Inc,Industrial Goods,good,True,True,True,True,True,True,True,True,270.601501443695,True,True,True
303,GOOGL.OQ,Alphabet Inc,Software & IT Services,good,True,True,True,True,True,False,False,True,259.504544766473,True,True,True
304,KR.N,Kroger Co,Food & Drug Retailing,good,True,True,True,False,False,False,True,True,300.85349816601,True,True,True
305,INTU.OQ,Intuit Inc,Financial Technology (Fintech) & Infrastructure,good,True,True,True,False,False,False,True,True,,True,True,True
306,PSX.N,Phillips 66,Energy - Fossil Fuels,good,True,True,True,True,False,True,True,True,4637.58477161003,True,True,True
307,MKC.N,McCormick & Company Inc,Food & Beverages,good,True,True,True,True,True,False,True,True,247.26146346096,True,True,True
308,DAL.N,Delta Air Lines Inc,Transportation,good,False,True,True,True,False,True,True,True,31574.9521789997,True,True,True
309,CHTR.OQ,Charter Communications Inc,Telecommunications Services,bad,False,True,False,False,False,False,False,False,,True,True,False
310,ON.OQ,ON Semiconductor Corp,Technology Equipment,bad,True,True,True,False,False,False,True,True,951.670079230837,False,False,True
311,CE.N,Celanese Corp,Chemicals,bad,True,True,True,True,True,True,False,True,9150.14040671971,True,no value,True
312,HSIC.OQ,Henry Schein Inc,Healthcare Services & Equipment,bad,True,True,True,False,False,False,False,True,,True,True,True
313,AME.N,AMETEK Inc,Industrial Goods,bad,False,False,False,False,False,False,True,False,188.879850767473,True,False,False
314,ETN.N,Eaton Corporation PLC,Industrial Goods,good,True,True,True,True,True,False,True,True,469.731547177501,True,False,True
315,MKTX.OQ,Marketaxess Holdings Inc,Banking & Investment Services,bad,True,True,False,False,False,False,False,False,,False,True,False
316,NWS.OQ,News Corp,Cyclical Consumer Services,bad,False,True,True,False,False,False,True,True,,False,True,True
317,STE.N,STERIS plc,Healthcare Services & Equipment,bad,False,True,True,False,False,False,True,False,,False,False,True
318,DHR.N,Danaher Corp,Healthcare Services & Equipment,good,True,True,True,True,False,True,True,True,175.657454249142,True,False,True
319,HPQ.N,HP Inc,Technology Equipment,good,True,True,True,True,True,False,True,True,39.5263408256808,True,True,True
320,PLD.N,Prologis Inc,Real Estate,bad,True,True,True,True,False,True,False,False,4772.61635822701,True,False,True
321,HII.N,Huntington Ingalls Industries Inc,Industrial Goods,bad,True,True,True,False,False,False,False,False,283.251259974801,True,False,True
322,LUMN.N,Lumen Technologies Inc,Telecommunications Services,bad,True,True,True,False,False,False,True,True,955.07387961599,True,False,True
323,NTAP.OQ,NetApp Inc,Technology Equipment,bad,True,True,True,True,True,True,True,True,121.366848189415,True,True,True
324,CAT.N,Caterpillar Inc,Industrial Goods,good,True,True,True,True,True,False,True,True,404.151380196582,True,True,True
325,CPB.N,Campbell Soup Co,Food & Beverages,good,True,True,True,True,True,False,True,True,1318.50870611137,True,True,True
326,NEM.N,Newmont Corporation,Mineral Resources,good,True,True,True,True,True,True,True,True,3198.48150057273,True,False,True
327,PFG.OQ,Principal Financial Group Inc,Banking & Investment Services,good,True,True,True,False,False,False,True,True,18.5508774635938,True,True,True
328,WST.N,West Pharmaceutical Services Inc,Healthcare Services & Equipment,good,True,True,True,True,True,True,False,True,582.072336488204,True,True,True
329,HON.OQ,Honeywell International Inc,Consumer Goods Conglomerates,good,True,True,True,False,False,False,True,False,467.740718771807,True,True,True
330,YUM.N,Yum! Brands Inc,Cyclical Consumer Services,good,True,True,True,True,True,True,True,True,244.55340218712,True,True,True
331,AMP.N,Ameriprise Financial Inc,Banking & Investment Services,bad,False,True,False,False,False,False,False,False,20.8225440749832,True,True,False
332,UDR.N,UDR Inc,Real Estate,bad,True,True,False,True,True,True,True,False,555.280531000875,True,True,False
333,AMT.N,American Tower Corp,Real Estate,good,True,True,True,True,False,True,True,True,1305.09762848806,True,no value,True
334,HD.N,Home Depot Inc,Retailers,good,True,True,True,False,False,False,True,True,153.479362517117,True,True,True
335,LVS.N,Las Vegas Sands Corp,Cyclical Consumer Services,good,True,True,True,True,True,False,True,True,1085.21823334907,True,True,True
336,IP.N,International Paper Co,Applied Resources,good,True,True,True,True,True,True,True,True,21239.6768579249,True,False,True
337,TROW.OQ,T Rowe Price Group Inc,Banking & Investment Services,bad,True,True,True,False,False,False,False,True,,True,False,True
338,GD.N,General Dynamics Corp,Industrial Goods,bad,True,True,True,False,False,False,True,True,,True,True,True
339,TSCO.OQ,Tractor Supply Co,Retailers,good,True,True,True,True,True,False,True,True,222.351485731791,True,True,True
340,FBHS.N,Fortune Brands Home & Security Inc,Cyclical Consumer Products,good,True,True,True,False,False,False,True,True,424.498112616083,False,False,True
341,COO.N,Cooper Companies Inc,Healthcare Services & Equipment,bad,True,True,True,False,False,False,False,True,443.660063301967,True,True,True
342,DOV.N,Dover Corp,Industrial Goods,good,False,True,True,True,False,True,False,False,,True,True,True
343,GLW.N,Corning Inc,Technology Equipment,bad,True,True,True,False,False,False,True,True,1917.34128674904,True,True,True
344,CNP.N,CenterPoint Energy Inc,Utilities,bad,True,True,False,False,False,False,True,False,2531.34655172413,True,True,False
345,RCL.N,Royal Caribbean Cruises Ltd,Cyclical Consumer Services,bad,True,True,True,False,False,False,True,True,9943.88361300934,True,True,True
346,EOG.N,EOG Resources Inc,Energy - Fossil Fuels,good,True,True,True,False,False,False,True,False,139.361073825503,True,True,True
347,VTRS.OQ,Viatris Inc,Pharmaceuticals & Medical Research,good,True,True,True,False,False,False,True,True,377.585079082873,True,False,True
348,URI.N,United Rentals Inc,Industrial & Commercial Services,good,True,True,True,False,False,False,True,True,611.936640592836,True,False,True
349,DXCM.OQ,Dexcom Inc,Healthcare Services & Equipment,bad,True,True,True,False,False,False,True,False,,False,False,True
350,GM.N,General Motors Co,Automobiles & Auto Parts,good,True,True,True,True,True,True,True,True,355.817738023999,True,True,True
351,VZ.N,Verizon Communications Inc,Telecommunications Services,good,True,True,True,True,False,True,True,True,305.378241638163,True,True,True
352,EPAM.N,Epam Systems Inc,Software & IT Services,bad,False,True,False,False,False,False,False,False,,False,True,False
353,MU.OQ,Micron Technology Inc,Technology Equipment,good,True,True,True,True,True,True,True,True,1353.75995668651,True,True,True
354,RMD.N,Resmed Inc,Healthcare Services & Equipment,good,True,True,True,True,True,True,True,True,52.3449792450646,True,True,True
355,NEE.N,Nextera Energy Inc,Utilities,good,True,True,True,False,False,False,True,True,,False,True,True
356,VLO.N,Valero Energy Corp,Energy - Fossil Fuels,bad,True,True,True,False,False,False,True,False,,True,False,False
357,FRT.N,Federal Realty Investment Trust,Real Estate,bad,True,True,False,True,False,True,False,False,350.125034692144,True,True,False
358,LIN.N,Linde PLC,Chemicals,good,True,True,True,True,True,True,True,True,8527.74331828662,True,True,True
359,AOS.N,A O Smith Corp,Industrial Goods,bad,True,True,True,False,False,False,True,True,644.810693192415,True,True,True
360,SBAC.OQ,SBA Communications Corp,Real Estate,bad,True,True,True,True,False,True,True,False,111.120712002073,True,False,True
361,RHI.N,Robert Half International Inc,Industrial & Commercial Services,good,False,True,True,False,False,False,True,True,5.93143324088748,True,False,True
362,T.N,AT&T Inc,Telecommunications Services,good,True,True,True,True,True,False,True,True,361.95405059693,True,True,True
363,KIM.N,Kimco Realty Corp,Real Estate,bad,True,True,True,True,True,False,True,False,398.886405440462,True,False,True
364,HIG.N,Hartford Financial Services Group Inc,Insurance,good,True,True,True,True,True,True,True,False,14.8664403751674,True,True,True
365,IEX.N,IDEX Corp,Industrial Goods,bad,False,True,True,False,False,False,True,True,108.617134551713,True,False,True
366,CBRE.N,CBRE Group Inc,Real Estate,bad,False,True,True,False,False,False,True,True,35.7172205002522,True,True,True
367,IRM.N,Iron Mountain Inc,Real Estate,good,False,True,True,False,False,False,True,True,1284.27953810579,True,True,True
368,CPT.N,Camden Property Trust,Real Estate,bad,True,True,False,True,True,True,False,False,,False,True,False
369,DIS.N,Walt Disney Co,Cyclical Consumer Services,good,True,True,True,False,False,False,True,True,208.679640452104,True,True,True
370,MA.N,Mastercard Inc,Software & IT Services,good,False,True,True,False,False,False,True,True,,True,True,True
371,EXPD.OQ,Expeditors International of Washington Inc,Transportation,bad,True,True,False,False,False,False,True,False,34.4015671061903,False,True,False
372,BAX.N,Baxter International Inc,Healthcare Services & Equipment,good,True,True,True,True,True,True,True,True,844.102002503128,True,True,True
373,ROL.N,Rollins Inc,Industrial & Commercial Services,bad,False,True,False,False,False,False,False,False,,False,False,False
374,CTSH.OQ,Cognizant Technology Solutions Corp,Software & IT Services,good,True,True,True,False,False,False,True,True,34.8604311881991,True,True,True
375,PPG.N,PPG Industries Inc,Chemicals,bad,True,True,True,True,True,True,False,False,755.385282636981,True,False,True
376,TPR.N,Tapestry Inc,Retailers,good,True,True,True,True,True,False,False,True,,True,True,True
377,EMN.N,Eastman Chemical Co,Chemicals,bad,True,True,True,True,False,True,True,True,11327.0329896907,True,False,True
378,GOOG.OQ,Alphabet Inc,Software & IT Services,good,True,True,True,True,True,False,False,True,259.504544766473,True,True,True
379,BALL.N,Ball Corp,Applied Resources,good,True,True,True,True,True,True,True,True,1269.6129462023,True,False,True
380,VMC.N,Vulcan Materials Co,Mineral Resources,bad,True,True,False,True,False,True,True,False,2597.99610965022,False,False,False
381,ACN.N,Accenture PLC,Software & IT Services,good,True,True,True,False,False,False,True,True,21.3305417802878,True,False,True
382,OMC.N,Omnicom Group Inc,Cyclical Consumer Services,bad,False,True,True,True,False,True,True,False,25.1700701219085,True,False,False
383,ADM.N,Archer-Daniels-Midland Co,Food & Beverages,good,True,True,True,True,True,True,True,True,2457.27691820431,True,False,True
384,SBNY.OQ,Signature Bank,Banking & Investment Services,bad,False,True,False,False,False,False,False,False,,False,False,False
385,EIX.N,Edison International,Utilities,bad,True,True,True,True,False,True,False,False,,True,True,True
386,BKR.OQ,Baker Hughes Co,Energy - Fossil Fuels,good,True,True,True,False,False,False,True,True,464.209657594381,True,True,True
387,NWL.OQ,Newell Brands Inc,Cyclical Consumer Products,good,True,True,True,False,False,False,True,True,,True,False,True
388,LH.N,Laboratory Corporation of America Holdings,Healthcare Services & Equipment,bad,False,True,True,False,False,False,False,False,,False,False,True
389,UHS.N,Universal Health Services Inc,Healthcare Services & Equipment,bad,False,True,False,False,False,False,False,False,,False,no value,False
390,WBD.OQ,Warner Bros Discovery Inc,Cyclical Consumer Services,bad,True,True,False,False,False,False,False,False,,False,True,False
391,DVA.N,DaVita Inc,Healthcare Services & Equipment,good,True,True,True,True,True,False,False,False,952853901.6252261,True,True,True
392,RSG.N,Republic Services Inc,Industrial & Commercial Services,bad,True,True,True,False,False,False,True,True,3236.61750863213,True,False,True
393,HUM.N,Humana Inc,Healthcare Services & Equipment,good,True,True,True,False,False,False,True,True,10.808118722053,True,True,True
394,WMB.N,Williams Companies Inc,Energy - Fossil Fuels,good,True,False,True,False,False,False,True,False,1381.12355321351,True,False,True
395,LYB.N,LyondellBasell Industries NV,Chemicals,bad,True,True,True,True,False,True,True,True,8966.2789942174,False,False,True
396,AMZN.OQ,Amazon.com Inc,Retailers,good,True,True,True,False,False,False,True,True,,True,True,True
397,CRM.N,Salesforce Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,131.620553359683,True,True,True
398,TRV.N,Travelers Companies Inc,Insurance,bad,True,True,True,False,False,False,False,True,,True,True,True
399,AAPL.OQ,Apple Inc,Technology Equipment,good,True,True,True,True,False,True,True,True,32.9944644453374,True,True,True
400,CVS.N,CVS Health Corp,Healthcare Services & Equipment,good,True,True,True,True,True,True,True,True,40.831697810079,True,True,True
401,CL.N,Colgate-Palmolive Co,Personal & Household Products & Services,good,True,True,True,True,True,True,True,True,397.613235383401,True,True,True
402,ETSY.OQ,ETSY Inc,Retailers,bad,False,True,True,True,False,True,False,False,23.9761969164187,True,False,True
403,JCI.N,Johnson Controls International PLC,Industrial Goods,good,True,True,True,True,True,True,True,True,3738.7380851783,True,no value,True
404,CHD.N,Church & Dwight Co Inc,Personal & Household Products & Services,good,True,True,True,True,True,True,True,True,328.444789411332,True,True,True
405,COP.N,Conocophillips,Energy - Fossil Fuels,bad,True,True,True,True,True,True,True,False,5064.87736754822,True,False,True
406,SNPS.OQ,Synopsys Inc,Software & IT Services,good,True,True,True,False,False,False,True,True,,True,True,True
407,CF.N,CF Industries Holdings Inc,Chemicals,bad,True,True,True,False,False,False,True,True,55261.2633273172,True,False,True
408,CI.N,Cigna Corp,Healthcare Services & Equipment,good,True,True,True,True,True,False,True,False,6.2514041107681,True,True,True
409,FIS.N,Fidelity National Information Services Inc,Financial Technology (Fintech) & Infrastructure,good,True,True,True,False,False,False,True,True,44.6336362326151,True,True,True
410,FTNT.OQ,Fortinet Inc,Software & IT Services,bad,True,True,True,False,False,False,False,True,970864901.7402514,True,True,False
411,TXN.OQ,Texas Instruments Inc,Technology Equipment,good,True,True,True,True,True,True,True,True,625.184823375491,True,True,True
412,CTAS.OQ,Cintas Corp,Industrial & Commercial Services,bad,True,True,True,False,False,False,False,False,996.758586576807,False,False,True
413,TXN.OQ,Texas Instruments Inc,Technology Equipment,good,True,True,True,True,True,True,True,True,625.184823375491,True,True,True
414,CTAS.OQ,Cintas Corp,Industrial & Commercial Services,bad,True,True,True,False,False,False,False,False,996.758586576807,False,False,True
415,RWEG.DE,RWE AG,Utilities,good,True,True,True,True,False,True,True,True,1356.69022713578,True,False,True
416,STZ.N,Constellation Brands Inc,Food & Beverages,bad,True,True,True,False,False,False,False,False,592.874488419286,True,False,False
417,NAPA.N,Duckhorn Portfolio Inc,Food & Beverages,bad,True,True,False,True,True,False,False,False,,True,True,False
418,DG.N,Dollar General Corp,Retailers,bad,False,False,False,False,False,False,False,False,,False,False,True
419,HYFM.OQ,Hydrofarm Holdings Group Inc,Industrial Goods,bad,False,False,True,False,False,False,False,False,,False,False,False
420,MNST.OQ,Monster Beverage Corp,Food & Beverages,bad,True,True,False,False,False,False,False,False,21.1653117020221,True,True,False
421,REYN.OQ,Reynolds Consumer Products Inc,Cyclical Consumer Products,bad,False,True,False,False,False,False,True,False,,False,False,False
